Abelia
Abutilon
Acca
Acer
Achillea millefolium
Aconite
Aeonium
African Violet
Agapanthus
Agave
Ageratum
Air Plant
Alexanders
Alfalfa
Allium
Aloe
Alstroemeria
Aluminium Plant
Alyssum
Amaryllis
Anemone
Angel's Fishing Rod
Angelica
Annual Wall Rocket
Antirrhinum
Apple
Apple
Apricot
Aquilegia
Arisaema
Arnica
Artillery Plant
Arum Lily
Ash
Asparagus
Aspidistra
Aster
Astilbe
Astrantia
Aubergine
Aubretia
Auricula
Autumn  Crocus
Avocado Fruit
Avocado Tree
Azalea
Bachelors Buttons
Bacopa
Bacopa
Balloon Flower
Bamboo
Baneberry
Barley Grass
Barrenwort
Basil
Basket of Gold
Bay Tree
Bean
Bean Sprouts
Bears Breeches
Beauty Berry
Beech
Beetroot
Begonia
Begonia
Berberis
Bergamot
Big Betony
Bilberry
Bindweed
Bindweed
Birch
Bird of Paradise
Bird's Foot Trefoil
Birthwort
Bistort
Bittercress
Bittersweet
Black Currant
Black Horehound
Black Locust
Black Medic
Black Mondo Grass
Black Nightshade
Black-eyed Susan
Black-eyed Susan
Blackberry
Blackthorn
Blanket Weed
Bleeding Heart
Blue Potato Bush
Blue Sowthistle
Blue Star Creeper
Blue-eyed Grass
Bluebell
Blueberry
Borage
Boston Fern
Boston Ivy
Bottlebrush
Bougainvillea
Box
Bracken
Bramble
Bristly Oxtongue
Broad Bean
Broadleaf Filaree
Broadleaf Stonecrop
Broccoli
Bromeliad
Broom
Brugmansia spp.
Brunnera
Brussels Sprouts
Bryony
Buddleia
Bugle
Bulrush
Burclover
Burdock
Burnet
Burning Bush
Burr Marigold
Busy Lizzie
Butterbur
Buttercup
Cabbage
Cabomba
California Poppy
Callisia
Camassia
Camellia
Campanula
Campanula
Campion
Candytuft
Canna Lily
Cape Fuchsia
Cape Honeysuckle
Cape Pondweed
Carex
Carrot
Caryopteris
Castor Oil Plant
Cat Grass
Cat's Ear
Catnip
Cauliflower
Ceanothus
Cedar
Celery
Celosia
Centaury
Ceratostigma
Chameleon Plant
Chamomile
Chard
Charlock Mustard
Chayote
Chenille Plant
Cherry
Cherry
Chia
Chickweed
Chicorum endivia
